neutral_id,status,reason,molecular_weight_g_mol,cation_id,anion_id
libe-120409,rejected,not_closed_shell,,,
libe-120415,rejected,not_closed_shell,,,
libe-120798,rejected,not_closed_shell,,,
libe-120804,rejected,not_closed_shell,,,
libe-120887,rejected,not_closed_shell,,,
libe-120888,rejected,not_closed_shell,,,
libe-120889,rejected,not_closed_shell,,,
libe-120897,rejected,not_closed_shell,,,
libe-120899,rejected,not_closed_shell,,,
libe-120902,rejected,not_closed_shell,,,
libe-120905,rejected,not_closed_shell,,,
libe-120906,rejected,not_closed_shell,,,
libe-132252,rejected,not_closed_shell,,,
libe-120908,rejected,not_closed_shell,,,
libe-120909,rejected,not_closed_shell,,,
libe-120910,rejected,not_closed_shell,,,
libe-120915,rejected,not_closed_shell,,,
libe-120917,rejected,not_closed_shell,,,
libe-132258,rejected,not_closed_shell,,,
libe-140653,rejected,not_closed_shell,,,
libe-140656,rejected,not_closed_shell,,,
libe-187034,rejected,not_closed_shell,,,
libe-187163,rejected,not_closed_shell,,,
libe-187347,rejected,not_closed_shell,,,
libe-187382,rejected,not_closed_shell,,,
libe-187392,rejected,not_closed_shell,,,
libe-187429,rejected,not_closed_shell,,,
libe-187622,rejected,not_closed_shell,,,
libe-187682,rejected,not_closed_shell,,,
libe-187752,rejected,not_closed_shell,,,
libe-188331,rejected,not_closed_shell,,,
libe-118648,rejected,disallowed_element,,,
libe-119081,rejected,disallowed_element,,,
libe-634384,rejected,disallowed_element,,,
libe-225948,rejected,not_closed_shell,,,
libe-225962,rejected,not_closed_shell,,,
libe-639619,rejected,not_closed_shell,,,
libe-639753,rejected,not_closed_shell,,,
libe-136239,rejected,disallowed_element,,,
libe-136248,rejected,disallowed_element,,,
libe-206231,rejected,disallowed_element,,,
libe-206247,rejected,disallowed_element,,,
libe-206271,rejected,disallowed_element,,,
libe-206528,rejected,disallowed_element,,,
libe-224963,rejected,not_closed_shell,,,
libe-224965,rejected,not_closed_shell,,,
libe-641827,rejected,not_closed_shell,,,
libe-641830,rejected,not_closed_shell,,,
libe-641836,rejected,not_closed_shell,,,
libe-140998,rejected,not_closed_shell,,,
libe-141202,rejected,not_closed_shell,,,
libe-141281,rejected,not_closed_shell,,,
libe-141293,rejected,not_closed_shell,,,
libe-141443,rejected,not_closed_shell,,,
libe-141557,rejected,not_closed_shell,,,
libe-141601,rejected,not_closed_shell,,,
libe-405447,rejected,not_closed_shell,,,
libe-137692,rejected,disallowed_element,,,
libe-137693,rejected,disallowed_element,,,
libe-137726,rejected,disallowed_element,,,
libe-137772,rejected,disallowed_element,,,
libe-173433,rejected,disallowed_element,,,
libe-207705,rejected,disallowed_element,,,
libe-208448,rejected,disallowed_element,,,
libe-226508,rejected,not_closed_shell,,,
libe-226555,rejected,not_closed_shell,,,
libe-642447,rejected,not_closed_shell,,,
libe-642473,rejected,not_closed_shell,,,
libe-642503,rejected,not_closed_shell,,,
libe-510433,rejected,not_closed_shell,,,
libe-520384,rejected,not_closed_shell,,,
libe-521955,rejected,not_closed_shell,,,
libe-526794,rejected,not_closed_shell,,,
libe-527213,rejected,not_closed_shell,,,
libe-528592,rejected,not_closed_shell,,,
libe-529405,rejected,not_closed_shell,,,
libe-516577,rejected,not_closed_shell,,,
libe-528712,rejected,not_closed_shell,,,
libe-120954,rejected,not_closed_shell,,,
libe-120960,rejected,not_closed_shell,,,
libe-121710,rejected,not_closed_shell,,,
libe-121730,rejected,not_closed_shell,,,
libe-190135,rejected,not_closed_shell,,,
libe-190263,rejected,not_closed_shell,,,
libe-116808,accepted,,70.091,libe-117129,libe-117118
libe-116811,accepted,,70.091,libe-117136,libe-117135
libe-116818,accepted,,70.091,libe-117122,libe-117119
libe-116819,accepted,,70.091,libe-117153,libe-117151
libe-116821,rejected,missing_cation_match,70.091,,
libe-116822,rejected,missing_cation_match,70.091,,
libe-116824,rejected,missing_anion_match,70.091,libe-117145,
libe-116828,rejected,missing_cation_match,70.091,,
libe-116829,accepted,,70.091,libe-117116,libe-117117
libe-119293,rejected,missing_cation_match,70.091,,
libe-119303,accepted,,70.091,libe-117130,libe-117121
libe-119306,rejected,missing_anion_match,70.091,libe-117139,
libe-119313,accepted,,70.091,libe-117159,libe-117156
libe-119314,rejected,missing_anion_match,70.091,libe-117163,
libe-510486,accepted,,70.091,libe-510496,libe-510532
libe-226656,rejected,not_closed_shell,70.091,,
libe-226663,rejected,not_closed_shell,70.091,,
libe-226669,rejected,not_closed_shell,70.091,,
libe-226685,rejected,not_closed_shell,70.091,,
libe-226688,rejected,not_closed_shell,70.091,,
libe-226741,rejected,not_closed_shell,70.091,,
libe-226750,rejected,not_closed_shell,70.091,,
libe-226751,rejected,not_closed_shell,70.091,,
libe-226805,rejected,not_closed_shell,70.091,,
libe-226875,rejected,not_closed_shell,70.091,,
libe-226909,rejected,not_closed_shell,70.091,,
libe-226914,rejected,not_closed_shell,70.091,,
libe-226915,rejected,not_closed_shell,70.091,,
libe-227022,rejected,not_closed_shell,70.091,,
libe-640833,rejected,not_closed_shell,70.091,,
libe-117646,accepted,,104.06099999999999,libe-120243,libe-120844
libe-117650,accepted,,104.06099999999999,libe-120249,libe-120845
libe-117652,rejected,missing_cation_match,104.06099999999999,,
